iter	Logloss
171	0.5844168379
172	0.5839443043
173	0.5837044581
174	0.5831927236
175	0.5828381876
176	0.582452992
177	0.582018425
178	0.5817454012
179	0.5815822781
180	0.5813901247
181	0.5811048074
182	0.5807758458
183	0.5804276787
184	0.5800384346
185	0.5797582026
186	0.5794269699
187	0.5791134122
188	0.5786805238
189	0.5782469936
190	0.5778380997
191	0.5773209344
192	0.5769630905
193	0.5767665924
194	0.5763399248
195	0.5757508253
196	0.5753295392
197	0.5750573547
198	0.5748247661
199	0.5742282609
200	0.57404455
201	0.5735103021
202	0.5731129118
203	0.5727117198
204	0.5723836469
205	0.5717387084
206	0.5714014524
207	0.5710003099
208	0.5706476994
209	0.5703115295
210	0.5700214726
211	0.5695216366
212	0.5691143226
213	0.5686676596
214	0.5679823847
215	0.5674454708
216	0.5669287498
217	0.5665975665
218	0.5662032371
219	0.5657952813
220	0.5654568898
221	0.5651329641
222	0.5648461163
223	0.5643566977
224	0.5639795496
225	0.5635620157
226	0.5631484315
227	0.5627311939
228	0.562303687
229	0.5618640347
230	0.5615079682
231	0.5611705641
232	0.5606728511
233	0.5603369775
234	0.559985552
235	0.5597233405
236	0.5591730469
237	0.5588616616
238	0.5584938447
239	0.557885046
240	0.5576073319
241	0.5571651617
242	0.5568831523
243	0.5562967189
244	0.5557657296
245	0.5553039589
246	0.5549906481
247	0.5547069107
248	0.5541925101
249	0.553840344
250	0.5534385596
251	0.5530863934
252	0.5525508619
253	0.5520326104
254	0.5516171995
255	0.5512030722
256	0.5506952875
257	0.5500886611
258	0.5497155122
259	0.5494118781
260	0.54887294
261	0.5485126275
262	0.54826424
263	0.5479204177
264	0.5474886155
265	0.5471291423
266	0.5467877885
267	0.5464805997
268	0.5461718804
269	0.5457737988
270	0.5454839888
271	0.5450308581
272	0.5444495593
273	0.5442100093
274	0.5437878839
275	0.543392814
276	0.5431037445
277	0.5428031221
278	0.5423751215
279	0.5420637855
280	0.5416999677
281	0.5414262527
282	0.5411160028
283	0.540856803
284	0.5405279895
285	0.5399005779
286	0.5395099514
287	0.5391546748
288	0.5385128467
289	0.5382534001
290	0.5378524056
291	0.537512138
292	0.5373017664
293	0.5369464405
294	0.5366982505
295	0.5364549483
296	0.5358695023
297	0.5356496021
298	0.5352517674
299	0.5346655315
300	0.5343269425
301	0.5337817836
302	0.5334234954
303	0.532994458
304	0.5325971664
305	0.532335498
306	0.5318092483
307	0.5314857175
308	0.5312183221
309	0.5308892124
310	0.5305637068
311	0.5300871247
312	0.5297406363
313	0.5294564545
314	0.5290780228
315	0.5288231183
316	0.5283838116
317	0.5279816816
318	0.527686885
319	0.527325832
320	0.5268011129
321	0.5264154729
322	0.526038473
323	0.5257801125
324	0.5254445351
325	0.5250477866
326	0.5246273398
327	0.5242683604
328	0.5239256735
329	0.5236479101
330	0.5232110226
331	0.5229743855
332	0.5226374258
333	0.5222978
334	0.5220131245
335	0.5217494813
336	0.5213051387
337	0.5209585022
338	0.5204952997
339	0.5200772228
340	0.5196770676
341	0.5193934784
342	0.5190488167
343	0.51868648
344	0.5184076304
345	0.5179980453
346	0.5176701205
347	0.5172866035
348	0.5169776373
349	0.5166054758
350	0.5163112716
351	0.5160100568
352	0.5155387081
353	0.5152155723
354	0.514771131
355	0.5144858631
356	0.5140903982
357	0.5137193722
358	0.5131592537
359	0.512933824
360	0.5124343336
361	0.5120235636
362	0.5116227666
363	0.5114068655
364	0.5110337165
365	0.5106311422
366	0.5103081051
367	0.5099320432
368	0.5095385532
369	0.5090738697
370	0.5088117076
371	0.5085390294
372	0.5080768638
373	0.5077810304
374	0.5074864313
375	0.507074822
376	0.5067452185
377	0.5065051254
378	0.5060654238
379	0.5057836613
380	0.5053363564
381	0.5050458058
382	0.5047292364
383	0.5043990899
384	0.503925322
385	0.5036479042
386	0.503323386
387	0.5030560399
388	0.5026622043
389	0.5022760212
390	0.5018807045
391	0.5015077036
392	0.5012648951
393	0.5009681237
394	0.5006031209
395	0.5003259499
396	0.5000219209
397	0.4996864917
398	0.4993812777
399	0.4992806588
400	0.4989432547
401	0.4987603831
402	0.4983055244
403	0.4979172678
404	0.4975559679
405	0.4972363869
406	0.4970188071
407	0.4967444503
408	0.4964423961
409	0.4960875145
410	0.495828611
411	0.4956579341
412	0.4953005345
413	0.4949057609
414	0.4944290307
415	0.4941836549
416	0.4938639751
417	0.493623882
418	0.4933469085
419	0.4931346115
420	0.492574493
421	0.4921508865
422	0.4918546088
423	0.4915691927
424	0.4913025872
425	0.4908791781
426	0.4906770023
427	0.4902341409
428	0.489954995
429	0.489609099
430	0.4892906042
431	0.4890017815
432	0.4887555664
433	0.488420779
434	0.4880616021
435	0.4877353559
436	0.4873904967
437	0.4870957001
438	0.4868968322
439	0.4865462953
440	0.486201288
441	0.4855897245
442	0.4852247218
443	0.4848433772
444	0.4845894107
445	0.4842832587
446	0.4839432379
447	0.4837522694
448	0.4835149904
449	0.483146828
450	0.4829191765
451	0.4826012247
452	0.4822608583
453	0.4820887003
454	0.481778796
455	0.4815542549
456	0.4811892028
457	0.4808795455
458	0.4806955876
459	0.4804596911
460	0.4802198943
461	0.4799012019
462	0.4796569123
463	0.479523412
464	0.4791636427
465	0.4788775848
466	0.4785857011
467	0.478342942
468	0.4779837157
469	0.4777745291
470	0.4774979506
471	0.4772146575
472	0.4769454847
473	0.4767118593
474	0.476381219
475	0.4761464087
476	0.4759254223
477	0.4756612854
478	0.4752788052
479	0.474844485
480	0.4745462818
481	0.4742359333
482	0.4739303737
483	0.4736402674
484	0.4734627772
485	0.4732579353
486	0.4730255442
487	0.4727584449
488	0.4725380017
489	0.4721685555
490	0.4718814609
491	0.4716242853
492	0.4712674782
493	0.4709879868
494	0.4706076789
495	0.4703592914
496	0.4700366
497	0.4697620951
498	0.4694685821
499	0.4690261651
